saison_id,saison,liga_id,liga,spiel_id,datum,heim,gast,name,bahn1,bahn2,bahn3,bahn4,gesammt
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Jahn, Holger",149,170,144,155,618
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Dregelies, Jonas",143,138,143,129,553
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Faber, Oliver",144,142,180,142,608
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Dregelies, Fabian",142,140,152,136,570
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Held, Leon",150,134,156,137,577
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Jahreis, Achim",155,147,172,163,637
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Löhr, Patrick",146,149,150,153,598
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Lappe, Stefan",132,132,143,141,548
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Held, Heiko",130,148,148,134,560
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Deinlein, Mathias",125,125,,,250
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Werner, Markus-Oliver",,,142,137,279
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Pfaller, Olaf",142,135,135,132,544
10,2024,3238,Männer - Bayernliga Nord,211510,14.09.2024,1.SKK Gut Holz Zeil 1,SKC Steig Bindlach 1,"Dippmar, Klaus",148,151,140,133,572
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Seubert, Horst",156,153,147,159,615
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Ditterich, Gerhard",128,121,,,249
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Schumm, Michael",,,157,126,283
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Lösel, Klaus",126,120,,,246
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Milde, Kevin",153,131,158,119,561
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Hiltl, Patrick",,,164,120,284
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Witt, Daniel",160,124,126,131,541
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Hubert, Marc",160,124,134,120,538
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Klingl, Tobias",130,142,123,137,532
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Eckert, Daniel",140,138,145,131,554
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Hiltl, Christopher",150,142,147,118,557
10,2024,3238,Männer - Bayernliga Nord,211511,14.09.2024,Fortuna Neukirchen 1,TSV Eintracht Bamberg 1,"Zimmer, Dominik",141,142,141,144,568
